Measurement Name :;Meas-826;;Generated On :;18/10/2021, 15:01:10;;;Calibration details for Oxygen;;;Report :;"@m02:IDENTIFICATION
Serial number     : SEBX0008000826      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 047
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

";;Other Report :;"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
";;;;;;;;;;;;;;;;;
29.09.21 17:44:30;120.4;94.8;92.71;96.76;94.8;106.24;106.4;105.93;103.46;88.27;88.71;90.19;89.74;106.09;112.19;114.25;111.25;95.1;96.01;95.86;96.61;97.51;94.5;93.61;92.86;;19.7;1020;0;19.62;
29.09.21 18:14:36;150.5;94.95;92.86;96.76;94.95;106.24;106.71;105.93;103.62;89.01;89.01;90.34;89.74;106.09;112.19;114.89;111.4;95.25;96.01;96.01;96.76;97.67;94.8;93.91;92.86;;19.7;1020;0;19.66;
29.09.21 18:44:41;180.58;94.95;93.01;96.91;95.1;106.56;106.71;106.09;103.93;89.01;89.15;90.34;89.89;106.24;112.51;115.05;111.56;95.4;96.01;96.16;96.91;97.67;94.8;93.76;92.86;;19.7;1020;0;19.68;
29.09.21 19:14:47;210.68;95.1;93.16;97.06;94.95;106.4;106.87;106.24;103.93;89.15;89.15;90.34;89.89;106.24;112.67;115.05;111.56;95.4;96.16;96.31;96.76;97.67;94.8;93.91;92.86;;19.7;1020;0;19.62;
29.09.21 19:44:53;240.78;94.95;93.01;96.91;95.1;106.56;106.56;106.24;103.77;89.01;89.15;90.19;89.74;106.24;112.67;115.05;111.4;95.4;96.01;96.01;96.91;97.51;94.95;93.76;93.01;;19.7;1020;0;19.66;
29.09.21 20:14:59;270.88;95.1;93.31;97.21;95.25;106.71;106.87;106.56;103.93;89.15;89.45;90.34;90.04;106.4;112.83;115.05;111.56;95.71;96.16;96.16;96.91;97.67;95.1;93.91;93.01;;19.7;1020;0;19.69;
29.09.21 20:45:04;300.97;95.1;93.01;97.21;95.1;106.71;106.71;106.56;104.08;89.15;89.3;90.34;90.04;106.24;112.67;115.21;111.4;95.55;96.16;96.01;96.76;97.51;95.1;93.76;92.86;;19.7;1020;0;19.66;
29.09.21 21:15:10;331.07;95.1;93.31;97.06;95.25;106.56;106.71;106.56;104.08;89.3;89.3;90.48;89.89;106.4;112.83;115.05;111.56;95.55;96.16;96.31;97.06;97.67;95.1;93.91;92.86;;19.7;1020;0;19.69;
29.09.21 21:45:15;361.15;95.1;93.31;97.36;95.25;106.87;106.87;106.71;104.08;89.3;89.45;90.34;90.04;106.56;112.51;115.21;111.56;95.55;96.01;96.16;96.91;97.82;95.25;93.91;92.71;;19.7;1020;0;19.64;
29.09.21 22:15:21;391.25;95.1;93.31;97.21;95.25;106.87;106.71;106.56;104.08;89.3;89.45;90.48;89.89;106.56;112.83;115.21;111.56;95.4;96.16;96.16;97.06;97.82;95.25;94.06;92.71;;19.7;1020;0;19.68;
29.09.21 22:45:27;421.35;95.1;93.16;97.06;95.25;106.56;106.71;106.56;103.93;89.15;89.3;90.34;89.89;106.4;112.67;114.89;111.4;95.4;96.01;96.01;96.91;97.67;95.25;93.91;92.71;;19.7;1020;0;19.66;
29.09.21 23:15:32;451.43;95.25;93.31;97.21;95.25;106.71;106.71;106.56;104.08;89.15;89.45;90.48;90.04;106.56;112.83;115.05;111.56;95.55;96.01;96.16;96.91;97.67;95.4;93.76;92.71;;19.7;1020;0;19.68;
29.09.21 23:45:38;481.53;95.1;93.31;97.36;95.25;106.71;106.87;106.4;104.08;89.3;89.45;90.34;90.04;106.4;112.67;115.05;111.4;95.55;96.01;96.31;97.06;97.82;95.4;93.91;92.71;;19.7;1020;0;19.69;
30.09.21 00:15:44;511.63;95.1;93.31;97.06;95.25;106.56;106.71;106.4;103.93;89.01;89.3;90.34;89.89;106.4;112.51;114.73;111.25;95.4;95.86;96.01;97.06;97.67;95.4;93.76;92.71;;19.7;1020;0;19.66;
30.09.21 00:45:51;541.75;95.1;93.31;97.06;95.1;106.56;106.56;106.4;104.08;89.15;89.3;90.19;89.74;106.24;112.51;114.89;111.25;95.4;95.86;96.01;96.76;97.51;95.55;93.76;92.56;;19.7;1020;0;19.69;
30.09.21 01:15:55;571.82;95.1;93.16;97.21;95.25;106.56;106.56;106.4;103.93;89.01;89.3;90.34;89.74;106.4;112.51;114.89;111.09;95.4;95.86;96.01;96.76;97.67;95.55;93.76;92.56;;19.7;1020;0;19.64;
30.09.21 01:46:01;601.92;95.25;93.31;97.21;95.25;106.56;106.71;106.4;104.08;89.01;89.3;90.19;89.89;106.4;112.51;114.89;111.09;95.4;96.01;96.01;96.91;97.67;95.71;93.91;92.71;;19.7;1020;0;19.7;
30.09.21 02:16:06;632;95.25;93.46;97.06;95.4;106.71;106.71;106.56;104.23;89.15;89.3;90.19;89.89;106.4;112.35;115.05;111.25;95.4;95.86;96.01;97.06;97.82;95.86;93.91;92.71;;19.7;1020;0;19.64;
30.09.21 02:46:12;662.1;95.25;93.46;97.51;95.4;106.71;106.87;106.56;104.23;89.15;89.3;90.34;89.89;106.4;112.51;115.05;111.25;95.55;95.86;96.16;97.06;97.82;95.86;94.06;92.56;;19.7;1020;0;19.69;
30.09.21 03:16:18;692.2;95.25;93.46;97.36;95.25;106.71;106.87;106.56;104.08;89.3;89.3;90.34;89.89;106.4;112.19;115.05;111.25;95.4;95.86;96.16;96.91;97.67;95.86;94.06;92.71;;19.7;1020;0;19.66;
30.09.21 03:46:24;722.3;95.25;93.46;97.36;95.4;106.56;106.71;106.4;104.08;89.15;89.45;90.34;89.74;106.4;112.51;114.89;111.09;95.4;95.86;96.01;96.76;97.67;95.86;94.06;92.56;;19.7;1020;0;19.66;
30.09.21 04:16:30;752.4;95.4;93.46;97.21;95.25;106.56;106.71;106.71;104.08;89.15;89.3;90.19;89.89;106.4;112.51;114.89;111.09;95.4;95.86;96.16;96.91;97.82;95.86;94.06;92.86;;19.7;1020;0;19.68;
30.09.21 04:46:34;782.47;95.25;93.46;97.36;95.55;106.56;106.87;106.87;104.23;89.3;89.45;90.34;89.89;106.56;112.51;114.89;111.09;95.4;96.01;96.16;96.91;97.67;96.01;94.2;92.71;;19.7;1020;0;19.69;
30.09.21 05:16:40;812.57;95.25;93.46;97.36;95.4;106.71;106.87;106.87;104.08;89.15;89.15;90.19;89.74;106.4;112.51;114.89;111.09;95.25;95.86;96.01;96.91;97.67;96.01;94.06;92.56;;19.7;1020;0;19.68;
30.09.21 05:46:46;842.67;95.1;93.46;97.36;95.25;106.56;106.56;106.56;104.08;89.15;89.15;90.04;89.74;106.24;112.35;114.73;110.93;95.1;95.71;96.01;96.76;97.51;95.71;93.91;92.56;;19.7;1020;0;19.64;
30.09.21 06:16:51;872.75;95.1;93.46;97.21;95.25;106.56;106.71;106.56;104.08;89.01;89.3;90.04;89.74;106.24;112.19;114.57;110.78;95.1;95.71;96.01;96.76;97.51;95.86;93.91;92.56;;19.7;1020;0;19.73;
30.09.21 06:46:57;902.85;95.1;93.31;97.36;95.4;106.56;106.56;106.4;104.08;89.15;89.15;90.04;89.6;106.24;112.19;114.73;110.78;95.1;95.71;95.86;96.61;97.67;95.86;93.91;92.56;;19.7;1020;0;19.66;
30.09.21 07:17:02;932.93;95.25;93.46;97.21;95.4;106.56;106.71;106.56;104.08;89.15;89.15;90.04;89.74;106.4;112.19;114.89;110.93;95.1;95.86;96.01;96.76;97.67;96.01;94.06;92.71;;19.7;1020;0;19.69;
30.09.21 07:47:08;963.03;95.4;93.31;97.36;95.25;106.4;106.56;106.56;104.08;89.15;89.15;89.89;89.6;106.24;112.04;114.41;110.46;94.95;95.86;95.71;96.61;97.36;95.86;93.91;92.56;;19.7;1020;0;19.66;
30.09.21 08:17:12;993.1;95.4;93.61;97.51;95.55;106.56;106.71;106.56;104.23;89.3;89.3;90.04;89.74;106.4;112.04;114.89;110.78;95.1;95.71;96.01;96.76;97.51;96.01;94.2;92.71;;19.7;1020;0;19.7;
30.09.21 08:47:18;1023.2;95.4;93.31;97.36;95.4;106.56;106.56;106.56;104.08;89.01;89.01;90.04;89.74;106.24;112.04;114.73;110.62;94.95;95.71;95.86;96.61;97.36;96.01;94.06;92.56;;19.7;1020;0;19.68;
30.09.21 09:17:23;1053.28;95.4;93.61;97.51;95.55;106.56;106.71;106.56;104.08;89.01;89.3;90.04;89.6;106.24;112.19;114.89;110.78;95.1;95.86;95.55;96.61;97.67;96.16;94.06;92.56;;19.7;1020;0;19.66;
30.09.21 09:47:29;1083.38;95.25;93.31;97.21;95.25;106.4;106.56;106.24;103.93;88.71;89.01;89.74;89.45;106.09;111.56;114.41;110.46;94.8;95.55;95.71;96.46;97.21;95.86;93.91;92.41;;19.7;1020;0;19.7;
30.09.21 10:17:34;1113.47;95.25;93.46;97.51;95.4;106.4;106.71;106.56;104.08;88.86;89.01;89.89;89.6;106.09;112.04;114.57;110.62;94.8;95.71;95.55;96.31;97.51;96.16;94.06;92.56;;19.7;1020;0;19.66;
30.09.21 10:47:41;1143.58;95.4;93.61;97.51;95.55;106.4;106.71;106.4;104.08;88.86;89.01;89.89;89.45;106.09;112.04;114.73;110.62;94.8;95.71;95.55;96.46;97.36;96.01;94.06;92.41;;19.7;1020;0;19.7;
30.09.21 11:17:46;1173.67;95.4;93.61;97.51;95.4;106.24;106.56;106.56;104.08;89.01;89.01;89.89;89.45;106.24;111.88;114.57;110.46;94.8;95.55;95.55;96.46;97.51;96.01;94.06;92.56;;19.7;1020;0;19.69;
30.09.21 11:47:51;1203.75;95.25;93.46;97.36;95.4;106.09;106.56;106.56;104.08;88.86;88.86;89.74;89.3;105.93;111.72;114.41;110.3;94.8;95.55;95.4;96.16;97.21;95.86;93.91;92.41;;19.7;1020;0;19.68;
30.09.21 12:17:57;1233.85;95.25;93.46;97.36;95.55;106.09;106.56;106.56;103.93;88.56;88.86;89.6;89.3;105.93;111.72;114.57;110.3;94.8;95.55;95.4;96.31;97.06;95.86;93.91;92.56;;19.7;1020;0;19.7;
30.09.21 12:48:01;1263.92;95.25;93.31;97.36;95.4;105.93;106.56;106.4;103.93;88.56;88.86;89.45;89.3;105.78;111.72;114.57;110.3;94.65;95.55;95.25;96.01;97.21;95.86;93.91;92.26;;19.7;1020;0;19.66;
30.09.21 13:18:07;1294.02;95.25;93.31;97.36;95.4;105.93;106.4;106.4;103.77;88.42;88.71;89.6;89.15;105.78;111.56;114.25;110.15;94.5;95.4;95.1;96.01;97.06;95.86;93.76;92.26;;19.7;1020;0;19.69;
30.09.21 13:48:12;1324.1;95.4;93.61;97.36;95.55;105.93;106.4;106.24;103.77;88.42;88.71;89.6;89.15;105.93;111.56;114.41;110.3;94.5;95.55;95.1;96.16;97.06;95.71;93.91;92.41;;19.7;1020;0;19.68;
30.09.21 14:18:17;1354.18;95.25;93.46;97.21;95.4;105.93;106.4;106.24;103.77;88.27;88.56;89.45;89.01;105.62;111.4;114.25;110.15;94.5;95.4;94.95;95.86;97.06;95.86;93.91;92.26;;19.7;1020;0;19.66;
30.09.21 14:48:22;1384.27;95.4;93.61;97.36;95.55;105.78;106.24;106.09;103.77;88.27;88.71;89.45;89.01;105.62;111.56;114.41;110.15;94.5;95.55;94.8;95.71;97.06;96.01;93.76;92.26;;19.7;1020;0;19.68;
30.09.21 15:18:28;1414.37;95.25;93.46;97.36;95.25;105.62;106.24;106.09;103.46;88.27;88.42;89.3;88.86;105.62;111.4;114.25;109.99;94.5;95.55;94.8;95.71;96.76;95.71;93.76;92.26;;19.7;1020;0;19.66;
30.09.21 15:48:33;1444.45;95.4;93.61;97.51;95.55;105.62;106.24;105.93;103.62;88.27;88.42;89.3;89.01;105.78;111.56;114.09;109.83;94.35;95.4;94.8;95.71;96.91;95.71;93.91;92.41;;19.7;1020;0;19.69;
30.09.21 16:18:38;1474.53;95.4;93.31;97.36;95.4;105.47;106.09;105.93;103.46;88.12;88.27;89.15;88.86;105.62;111.09;114.25;109.83;94.35;95.4;94.65;95.55;96.76;95.71;93.91;92.26;;19.7;1020;0;19.66;
30.09.21 16:48:43;1504.62;95.55;93.61;97.51;95.55;105.47;106.24;106.09;103.62;88.42;88.42;89.3;88.86;105.78;111.56;114.41;109.99;94.5;95.55;94.8;95.71;96.91;95.86;93.76;92.41;;19.7;1020;0;19.69;
30.09.21 17:18:48;1534.7;95.25;93.46;97.36;95.4;105.16;105.93;105.93;103.31;88.12;88.27;89.01;88.71;105.47;111.25;114.09;109.83;94.5;95.4;94.65;95.55;96.76;95.55;93.76;92.26;;19.7;1020;0;19.66;
30.09.21 17:48:54;1564.8;95.4;93.61;97.36;95.55;105.16;106.09;105.93;103.46;88.12;88.12;89.01;88.86;105.47;111.4;114.25;109.99;94.35;95.4;94.65;95.4;96.76;95.86;93.76;92.41;;19.7;1020;0;19.71;
30.09.21 18:18:59;1594.88;95.4;93.61;97.36;95.55;104.85;105.78;105.78;103.31;87.68;88.12;89.01;88.56;105.32;111.25;114.25;109.83;94.35;95.25;94.5;95.4;96.61;95.71;93.61;92.26;;19.7;1020;0;19.64;
30.09.21 18:49:04;1624.97;95.25;93.31;97.51;95.4;104.85;105.78;105.78;103.16;87.68;88.12;88.71;88.42;105.32;111.09;113.94;109.52;94.2;95.25;94.35;95.25;96.61;95.71;93.76;92.26;;19.7;1020;0;19.69;
30.09.21 19:19:10;1655.07;95.4;93.46;97.36;95.55;104.7;105.78;105.62;103.16;87.68;87.98;88.86;88.27;105.32;110.93;114.09;109.68;94.06;95.25;94.2;95.25;96.61;95.55;93.46;92.26;;19.7;1020;0;19.66;
30.09.21 19:49:16;1685.17;95.4;93.61;97.51;95.71;104.7;105.78;105.78;103.31;87.98;87.98;88.86;88.56;105.32;111.09;114.09;109.83;94.2;95.25;94.35;95.25;96.76;95.71;93.61;92.26;;19.7;1020;0;19.7;
30.09.21 20:19:24;1715.3;95.1;93.31;97.36;95.25;104.23;105.62;105.47;102.85;87.98;87.68;88.56;88.42;105.01;110.78;113.78;109.52;93.91;95.25;94.06;95.1;96.46;95.55;93.31;92.12;;19.7;1020;0;19.66;
30.09.21 20:49:32;1745.43;95.25;93.46;97.36;95.25;104.39;105.32;105.16;102.85;87.98;87.68;88.42;88.27;105.01;110.93;113.78;109.52;94.06;95.1;94.06;95.1;96.31;95.55;93.31;92.12;;19.7;1020;0;19.69;
30.09.21 21:19:40;1775.57;95.25;93.46;97.36;95.4;104.23;105.47;105.16;102.69;87.98;87.83;88.42;88.12;104.85;110.78;113.94;109.52;94.06;95.1;93.91;94.95;96.61;95.55;93.46;92.12;;19.7;1020;0;19.64;
30.09.21 21:49:47;1805.68;95.25;93.61;97.36;95.55;104.39;105.32;105.32;102.69;87.98;87.68;88.71;88.12;105.01;110.93;113.94;109.36;94.06;95.25;94.06;95.1;96.46;95.71;93.46;92.12;;19.7;1020;0;19.69;
30.09.21 22:19:55;1835.82;95.4;93.61;97.67;95.71;104.39;105.32;105.32;103;87.98;87.68;88.56;88.12;104.85;111.09;113.94;109.52;94.2;95.4;94.06;95.1;96.46;95.55;93.46;92.26;;19.7;1020;0;19.7;
30.09.21 22:50:01;1865.92;95.4;93.76;97.67;95.55;104.23;105.32;105.01;102.85;87.98;87.54;88.56;88.12;105.01;111.09;113.94;109.52;94.06;95.25;93.91;95.1;96.46;95.71;93.46;92.12;;19.7;1020;0;19.66;
30.09.21 23:20:09;1896.05;95.25;93.61;97.36;95.4;103.93;105.01;104.85;102.69;87.83;87.39;88.42;88.12;104.7;110.78;113.78;109.21;94.06;95.1;93.91;94.8;96.31;95.55;93.16;92.12;;19.7;1020;0;19.7;
30.09.21 23:50:15;1926.15;95.55;93.76;97.51;95.55;104.08;105.16;105.01;102.85;87.98;87.68;88.56;88.12;105.01;110.93;114.09;109.52;94.06;95.25;93.91;95.1;96.61;95.71;93.46;92.12;;19.7;1020;0;19.69;
01.10.21 00:20:20;1956.23;95.55;93.76;97.51;95.55;103.93;104.85;104.85;102.69;87.68;87.54;88.42;88.12;104.7;110.93;113.94;109.21;94.06;94.95;93.61;94.95;96.31;95.71;93.16;92.12;;19.7;1020;0;19.68;
01.10.21 00:50:25;1986.32;95.4;93.76;97.51;95.55;103.77;104.85;104.85;102.54;87.68;87.24;88.42;87.98;104.7;110.62;113.78;109.05;93.91;95.25;93.76;94.95;96.31;95.55;93.31;92.12;;19.7;1020;0;19.69;
01.10.21 01:20:30;2016.4;95.4;93.61;97.67;95.55;103.62;104.85;104.85;102.39;87.83;87.24;88.27;87.98;104.7;110.62;113.94;109.36;93.91;95.1;93.61;94.8;96.16;95.71;93.31;92.12;;19.7;1020;0;19.68;
01.10.21 01:50:36;2046.5;95.25;93.61;97.36;95.4;103.31;104.7;104.54;102.39;87.54;87.1;88.27;87.83;104.54;110.46;113.62;109.05;93.61;95.1;93.46;94.65;96.16;95.4;93.01;91.97;;19.7;1020;0;19.73;
01.10.21 02:20:42;2076.6;95.25;93.61;97.36;95.4;103.31;104.54;104.54;102.23;87.39;87.1;88.12;87.68;104.39;110.46;113.62;108.89;93.61;94.95;93.16;94.5;95.86;95.4;92.86;91.97;;19.7;1020;0;19.66;
01.10.21 02:50:49;2106.72;95.55;93.61;97.67;95.55;103.31;104.7;104.7;102.23;87.54;87.1;88.12;87.83;104.39;110.62;113.78;109.05;93.76;94.95;93.31;94.5;96.01;95.55;93.16;92.12;;19.7;1020;0;19.71;
01.10.21 03:20:54;2136.8;95.4;93.61;97.67;95.55;103.16;104.54;104.39;101.93;87.39;86.95;88.12;87.83;104.23;110.3;113.46;109.05;93.76;94.95;93.16;94.5;95.86;95.55;92.86;91.97;;19.7;1020;0;19.66;
01.10.21 03:51:00;2166.9;95.25;93.46;97.36;95.55;102.85;104.23;104.39;101.93;87.24;86.8;87.83;87.54;104.08;110.15;113.14;108.74;93.46;94.8;92.86;94.35;95.86;95.25;92.86;91.67;;19.7;1020;0;19.69;
01.10.21 04:21:06;2197;95.4;93.61;97.51;95.4;102.85;104.23;104.39;102.08;87.39;86.8;87.83;87.68;104.08;110.3;113.46;108.89;93.46;94.8;93.16;94.35;95.86;95.25;92.86;91.97;;19.7;1020;0;19.68;
01.10.21 04:51:10;2227.07;95.4;93.61;97.36;95.4;102.85;104.08;104.39;101.93;87.39;86.8;87.98;87.54;104.23;110.3;113.46;108.74;93.61;94.8;92.86;94.35;95.86;95.25;92.86;91.82;;19.7;1020;0;19.68;
01.10.21 05:21:15;2257.15;95.25;93.46;97.36;95.55;102.85;104.23;104.39;101.93;87.24;86.8;87.98;87.54;104.08;110.15;113.3;108.74;93.61;94.8;92.86;94.2;95.55;95.25;92.71;91.82;;19.7;1020;0;19.7;
01.10.21 05:51:10;2287.07;95.4;93.61;97.51;95.4;102.85;104.08;104.23;101.77;87.24;86.8;87.98;87.68;104.08;110.15;113.3;108.89;93.61;94.8;92.86;94.35;95.71;95.4;92.86;91.97;;19.7;1020;0;19.66;
01.10.21 06:21:24;2317.3;95.25;93.46;97.51;95.4;102.69;103.93;104.08;101.77;87.1;86.66;87.98;87.39;104.08;110.15;113.3;108.74;93.46;94.8;92.71;94.35;95.71;95.25;92.56;91.82;;19.7;1020;0;19.7;
01.10.21 06:50:27;2346.35;95.4;93.31;97.51;95.55;102.54;103.77;104.23;101.77;87.1;86.8;87.83;87.54;103.93;109.99;113.14;108.74;93.46;94.8;92.86;94.35;95.71;95.25;92.71;91.82;;19.7;1020;0;19.66;
01.10.21 07:27:05;2382.98;95.25;93.46;97.36;95.25;102.39;103.62;103.93;101.62;86.95;86.66;87.68;87.39;103.93;109.99;113.3;108.58;93.31;94.65;92.41;94.06;95.4;94.95;92.41;91.82;;19.7;1020;0;19.68;
01.10.21 07:57:10;2413.07;95.55;93.61;97.51;95.4;102.23;103.93;104.08;101.62;86.95;86.66;87.83;87.39;103.93;109.99;113.3;108.58;93.31;94.65;92.56;94.2;95.55;95.1;92.56;91.82;;19.7;1020;0;19.68;
01.10.21 08:27:16;2443.17;95.4;93.46;97.67;95.4;102.39;103.46;103.93;101.62;87.1;86.8;87.68;87.24;103.62;109.99;113.14;108.58;93.31;94.8;92.56;93.91;95.55;95.25;92.56;91.52;;19.7;1020;0;19.66;
01.10.21 08:57:22;2473.27;95.4;93.46;97.36;95.4;102.23;103.62;104.08;101.47;86.95;86.51;87.68;87.24;103.77;109.68;113.14;108.58;93.46;94.65;92.41;94.06;95.55;95.25;92.56;91.67;;19.7;1020;0;19.68;
01.10.21 09:27:28;2503.37;95.4;93.46;97.51;95.4;102.39;103.46;103.93;101.62;86.8;86.8;87.83;87.39;103.62;109.99;113.3;108.58;93.46;94.65;92.41;94.06;95.71;95.25;92.56;91.67;;19.7;1020;0;19.68;
01.10.21 09:57:34;2533.47;95.55;93.61;97.51;95.4;102.08;103.62;104.08;101.62;86.95;86.66;87.68;87.24;103.62;109.99;113.14;108.42;93.31;94.65;92.56;93.91;95.55;95.25;92.56;91.67;;19.7;1020;0;19.69;
01.10.21 10:27:39;2563.55;95.4;93.61;97.51;95.55;102.23;103.31;103.93;101.62;86.8;86.8;87.54;87.24;103.62;109.68;112.98;108.42;93.31;94.5;92.26;93.91;95.4;95.25;92.26;91.52;;19.7;1020;0;19.68;
01.10.21 10:57:44;2593.63;95.71;93.76;97.51;95.55;102.23;103.31;104.08;101.62;86.95;86.8;87.83;87.39;103.46;109.99;112.98;108.42;93.31;94.5;92.26;93.91;95.71;95.4;92.41;91.67;;19.7;1020;0;19.69;
01.10.21 11:27:49;2623.72;95.4;93.46;97.67;95.4;101.77;103.31;103.93;101.47;86.8;86.66;87.68;87.24;103.46;109.83;112.83;108.27;93.16;94.65;92.12;93.91;95.25;95.1;92.41;91.52;;19.7;1020;0;19.66;
01.10.21 11:57:55;2653.82;95.4;93.61;97.51;95.55;102.08;103.46;103.77;101.47;86.8;86.66;87.54;87.24;103.46;109.68;112.98;108.42;93.16;94.65;92.12;93.76;95.55;95.1;92.26;91.67;;19.7;1020;0;19.69;
01.10.21 12:28:02;2683.93;95.4;93.76;97.51;95.55;101.93;103.16;103.77;101.47;86.8;86.66;87.68;87.24;103.31;109.83;112.98;108.42;93.31;94.5;92.26;93.76;95.4;95.1;92.12;91.52;;19.7;1020;0;19.68;
01.10.21 12:58:07;2714.02;95.55;93.61;97.51;95.4;101.77;103.16;103.62;101.47;86.66;86.51;87.54;86.95;103.31;109.36;112.83;108.11;93.01;94.5;91.97;93.76;95.1;95.1;92.12;91.52;;19.7;1020;0;19.69;
01.10.21 13:28:13;2744.12;95.4;93.46;97.51;95.55;101.77;103.16;103.77;101.47;86.8;86.66;87.54;87.24;103.31;109.68;112.98;108.42;93.16;94.65;91.97;93.61;95.25;95.1;92.12;91.52;;19.7;1020;0;19.66;
01.10.21 13:58:20;2774.23;95.4;93.76;97.51;95.55;101.93;103.16;103.62;101.47;86.66;86.66;87.68;87.1;103.16;109.68;112.98;108.27;93.16;94.5;92.12;93.61;95.4;95.1;92.12;91.37;;19.7;1020;0;19.68;
01.10.21 14:28:26;2804.33;95.55;93.76;97.51;95.55;101.93;103.16;103.77;101.47;86.8;86.8;87.68;87.1;103.16;109.52;112.98;108.11;93.16;94.5;91.82;93.76;95.25;95.4;92.12;91.52;;19.7;1020;0;19.68;
01.10.21 14:58:31;2834.42;95.4;93.46;97.36;95.4;101.62;103;103.46;101.16;86.51;86.51;87.54;87.1;103;109.36;112.67;108.11;92.86;94.35;91.82;93.46;94.95;95.1;91.97;91.37;;19.7;1020;0;19.69;
01.10.21 15:28:36;2864.5;95.4;93.76;97.67;95.55;101.77;103;103.62;101.47;86.8;86.66;87.54;87.1;103.16;109.68;112.83;108.11;93.16;94.35;91.82;93.61;95.25;95.25;92.12;91.37;;19.7;1020;0;19.66;
01.10.21 15:58:40;2894.57;95.55;93.76;97.67;95.55;101.93;103.16;103.62;101.47;86.8;86.8;87.68;87.24;103.31;109.52;112.83;108.42;93.16;94.65;91.82;93.76;95.25;95.4;92.12;91.52;;19.7;1020;0;19.7;
01.10.21 16:28:46;2924.67;95.4;93.46;97.51;95.4;101.62;102.85;103.62;101.32;86.51;86.51;87.39;86.95;103;109.52;112.67;107.96;92.86;94.35;91.67;93.46;94.95;95.1;91.82;91.37;;19.7;1020;0;19.66;
