Lake,Depth ,Conductivity ,Temp,d18O,SDd18O,d2H,SDd2H,LOI,Ash,Nperc,Cperc,C_N,NH4,PO4,NO3,K,Ca ,Fe,S,Mg ,Na,Si,DOC,TN,DON,CH4_diss,N2O_diss,CO2_diss,CH4_supersat,CO2_supersat,CH4_Flux,N2O_Flux,CO2_Flux,WatTemp,CO2_Flux_chamber,BDOC_per,a254,SUVA254,FI,BIX,HIX,TF,Peak_A,Peak_C,Peak_M,Peak_T,Peak_B,Fmax1,Fmax2,Fmax3,Fmax4,BR_maxO2,BR_min_O2,BR_expO2,ChlorA_water,ChlorB_water,Fucox_water,Zeax_water,TSI,ChlorA_sed,ChlorB_sed,Fucox_sed,Zeax_sed
L11,41.4,621,16.5,-18.05,0.02,-144.42,0.26,9.99,90.01,0.33,8.65,31.03,0.049,0.005,0.001,2.7,27.09,0.02,13.15,27.35,27.19,0.16,12.17,0.701,0.651,3.05,0.35,0,saturated,nosatur,769.4,0.13,-893,17.13,-4.682957937,8.270676692,76.3475458,2.724021713,1.47069038,0.64592122,5.92744624,9073.93784,1.35624134,0.629991212,0.653938364,0.374549677,0.191603145,0.690561656,0.779280121,0.277121824,0.038256513,-0.036587819,-0.00340666,-0.039689965,1.27,0.14,0.11,NA,42,10.82151003,0.34,0.53,NA
L12,65.8,390,6,-17.36,0.03,-136.04,0.12,0.39,99.61,0.02,4.06,236.51,0.027,0.004,0,1.42,19.71,0.02,8.38,16.16,17.01,0.33,4.559,0.264,0.238,9.24,0.49,829,saturated,saturated,272.4,3.47,13308,5.97,17.71597698,11.40204465,19.597647,1.86655332,1.518215,0.64622213,4.3374143,2551.5102,0.39111508,0.1683541,0.17856692,0.10239726,0.050363998,0.177830791,0.211859734,0.073007245,0.026638438,-0.045734581,-0.005690882,-0.035388464,0.57,0,0.06,NA,34,0.74543945,NA,NA,NA
L13,48.5,2140,12.4,-15.08,0.09,-120.27,0.53,3.32,96.68,0.17,5.7,40.26,0.236,0.004,0.003,11.5,24.66,0.05,14.07,77.22,143.81,0.54,10.74,1.116,0.877,6.72,0.44,620,saturated,saturated,279,6.79,7683,12.49,10.59068783,6.360457724,29.379278,1.187798847,1.5824723,0.80354371,2.5115406,3340.7516,0.41386848,0.17386242,0.19682032,0.15833466,0.1192022,0.156421333,0.234657859,0.138732183,0.053245613,-0.052825755,-0.00161415,-0.039131653,0.58,NA,0.1,NA,34,4.870451115,0.14,0.11,NA
L14,49.25,1918,15,-17.88,0.03,-140.43,0.24,1.82,98.18,0.09,5.02,65,0.019,0.005,0.004,8.13,37.72,0.03,38.26,64.98,121.07,0.61,8.734,0.568,0.545,0.68,0.34,226,nosatur,saturated,21.4,0.34,18,15.77,3.926932355,13.0387891,54.058096,2.687531849,1.5870691,0.6838506,5.7743009,6230.9541,0.90888459,0.42784573,0.44632248,0.26023408,0.10335477,0.441112365,0.558343608,0.179514888,0.013946941,-0.042143438,-0.000182965,-0.04794587,0.79,0.03,0.14,NA,37,2.208003841,NA,NA,NA
L15,6.2,7885,23.2,-14.92,0.02,-127.54,0.22,72.36,27.64,2.39,36.55,17.87,0.056,0.009,0,35.44,105.94,0.48,85.22,215.93,678.31,1.82,36.96,1.975,1.919,7.86,0.18,0,saturated,nosatur,25.5,-0.11,-603,22.44,-4.797203495,15.34902038,257.116182,3.020671583,1.56179439,0.572469739,14.0097693,47288.5335,5.02626052,2.89833068,2.78046168,1.05151329,0.279466875,3.037691745,3.272500521,0.350773579,0.082040144,-0.03565811,-0.002861981,-0.034147382,6.21,0.7,0.97,NA,58,85.6528447,3.72,10.88,NA
L16,58.8,344,16,-19.11,0.03,-147.65,0.13,5.39,94.61,0.33,9.64,34.58,0.046,0.004,0.001,1.2,22.2,0.01,3.68,18.35,10.62,0.44,4.496,0.295,0.248,2.91,0.41,302,saturated,saturated,131.6,3.55,897,12.95,4.694710626,10.18077354,20.251344,1.95584129,1.5830603,0.68353487,4.3059338,2442.5974,0.40344407,0.18389644,0.19430472,0.1117286,0.05182442,0.188656455,0.234950052,0.080743366,0.023616982,-0.019947627,-0.000506477,-0.042131395,0.78,NA,0.22,NA,37,2.696282304,0.17,0.14,NA
L17,45.16666667,680,17,-17.04,0.04,-136.82,0.19,46.47,53.53,1.57,24.93,18.58,0.042,0.004,0,2.65,25.35,0.02,12.5,39.28,29.52,0.35,12.17,0.822,0.779,5.41,0.35,0,saturated,nosatur,7196.8,7,-7530,16.99,-5.988346345,5.947748749,49.440938,1.764014641,1.5002969,0.71882034,4.3476711,5852.0791,0.81567679,0.3560729,0.38895308,0.2904268,0.20114572,0.361536533,0.453621522,0.247538995,0.033860521,-0.018148647,-0.001738895,-0.033898292,0.82,0.01,0.17,NA,38,5.198922086,NA,NA,0.652979772
L18,44.5,273,16.7,-18.27,0.02,-145.18,0.15,13.09,86.91,0.92,16.64,21.21,0.033,0.005,0,1.69,19.14,0.01,8.4,16.5,6.67,0.41,8.927,0.543,0.51,8,0.36,0,saturated,nosatur,131.2,0.07,-533,11.49,-10.31974088,12.47341752,46.734535,2.273204218,1.5360737,0.68776085,2.7011862,6299.5079,0.77003462,0.34829132,0.37113512,0.32039182,0.60961291,0.371810825,0.432394109,0.198350244,0.540554005,-0.046756868,-0.003106557,-0.042934476,1.45,0.05,0.22,NA,43,6.550881125,0.09,1.54,NA
L19,14,304,18.1,-15.29,0.03,-131.36,0.22,3.78,96.22,0.19,5.35,33.73,0.035,0.003,0,2.18,26.9,0.04,3.69,21.03,4.66,1.37,17.84,0.897,0.862,17.81,0.35,82,saturated,nosatur,94.3,0.07,-294,10.55,-4.711498576,10.32518832,152.24628,3.705594574,1.43630585,0.575920355,9.92631199,13526.3106,2.03764791,1.08380082,1.07477018,0.466769862,0.160907647,1.18739395,1.250111366,0.248706451,0.017223956,-0.047744014,-0.001046398,-0.043392655,1.84,NA,0.41,NA,46,3.235373346,0.26,0.07,NA
L20,50.6,423,11.05,-17.7,0.03,-141.76,0.13,0.88,99.12,0.04,7.8,227.33,0.035,0.005,0,1.95,25.41,0.02,12.3,24.43,13.2,0.39,10.71,0.843,0.808,1.28,0.42,0,saturated,nosatur,62.8,0.02,-221,10.34,-10.43046187,9.246376812,54.469987,2.208380292,1.5172599,0.71702538,4.7673431,5901.1419,0.84386778,0.38787504,0.41049246,0.27210297,0.13935625,0.407504482,0.501547683,0.21169906,0.031886742,-0.020004728,-0.001782101,-0.04209742,0.54,0.08,0.05,NA,34,0.743823611,0.012057946,0.044861341,NA
